Player,Team,Position,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,
Tommy Bruner,DEN,PG,34,33.8,24,7.7,17.7,0.435,2.4,6.8,0.353,6.2,7.6,0.808,0.3,2.5,2.8,4.2,1.3,0.1,3.6,2.9,
Xavier Johnson,SOILL,PG,32,36.7,22.2,6.6,15.6,0.422,2.1,5.8,0.368,6.8,7.7,0.89,0.5,3.6,4.1,6.1,1.5,0.3,3.3,2.9,
Jordan Sears,UTM,PG,32,33.8,21.6,7.1,16.4,0.432,2.4,5.5,0.432,5.1,6,0.839,0.6,4.1,4.6,4.5,1.3,0.2,3.2,1.9,
Mark Sears,UA,PG,37,33.6,21.5,6.8,13.4,0.508,2.6,5.9,0.436,5.4,6.2,0.857,0.9,3.3,4.2,4,1.6,0.1,2.4,2,
Jordan Johnson,NEWOR,PG,32,35.9,21.3,6.6,17,0.387,2.5,7.4,0.34,5.7,6.9,0.824,0.3,2.8,3.2,3.8,1.5,0.2,2.4,2.3,
Dillon Jones,WEBER,PG,31,37,20.8,6.9,14.2,0.489,1.1,3.4,0.324,5.8,6.8,0.857,0.8,9,9.8,5.2,2,0.1,3,2.3,
David Coit,NIU,PG,29,37,20.8,6.9,17,0.407,3.2,9.6,0.337,3.7,4.2,0.885,0.3,2.9,3.2,3.4,0.9,0.2,2.4,1.4,
Jahmir Young,UMD,PG,32,35.3,20.4,6.2,15.4,0.404,1.8,5.4,0.324,6.2,6.9,0.9,1,3.8,4.9,4.2,1.3,0.3,2.7,1.3,
Noah Reynolds,UWGB,PG,27,33.4,20,7.5,14.6,0.511,1.3,3.7,0.34,3.8,4.8,0.791,0.6,3.1,3.7,4.5,0.8,0.5,2.7,2.3,
K.J. Simpson,COLO,PG,37,35.1,19.7,6.6,13.8,0.475,2.1,4.9,0.434,4.4,5,0.876,0.8,5.1,5.8,4.9,1.6,0.1,2.2,2.5,
Sebastian Thomas,ALBNY,PG,32,35.5,19.6,6.8,15.8,0.431,1.6,5.3,0.294,4.4,5.7,0.775,1.1,3.1,4.2,4.9,1.9,0.3,2.8,2.3,
Trey Calvin,WRST,PG,31,35.4,19.6,6.8,14.2,0.482,2,5,0.4,3.9,4.4,0.896,0.3,2.1,2.4,4.2,1.5,0.1,2,2.3,
"Dominique Daniels, Jr.",CALBU,PG,21,34.7,19.2,6.2,15.5,0.4,2.7,7.5,0.363,4.1,4.9,0.845,0.6,0.9,1.5,2.9,0.6,0,1.8,1.5,
Jason Edwards,UNT,PG,34,32.5,19.1,6.3,14.8,0.425,2.5,7.1,0.35,4.1,5,0.807,0.1,2.2,2.4,1.4,0.8,0.1,2.3,1.4,
Wade Taylor IV,TAMU,PG,36,32.8,19.1,5.9,16.3,0.366,2.7,8.4,0.325,4.5,5.3,0.847,0.5,3,3.5,4,1.8,0,2.8,3,
Boo Buie,NWU,PG,34,36.9,19,6.3,14.4,0.438,2.6,6,0.434,3.7,4.4,0.858,0.6,2.7,3.3,5,1.4,0.1,2.3,2.6,
Judah Mintz,SYRA,PG,32,33.9,18.8,5.9,13.4,0.438,0.8,2.7,0.282,6.3,8.3,0.765,0.5,2.8,3.2,4.4,2.1,0.1,2.9,2.2,
Jayden Epps,GTOWN,PG,29,34.8,18.5,6.1,15.6,0.392,2.2,7.2,0.305,4.1,5.4,0.763,0.3,2.3,2.6,4.2,1.2,0.4,3.4,1.7,
Tyson Walker,MCHST,PG,34,33,18.4,7,15.6,0.449,1.9,5,0.376,2.5,3.4,0.746,0.6,2.3,2.9,2.8,1.9,0.1,1.4,1.8,
Bryce Pope,UCSD,PG,33,35.6,18.3,6.5,15.5,0.418,2.2,6.8,0.332,3.1,3.8,0.817,0.7,3.2,3.9,1.9,1,0.2,1.3,1,
James Bishop IV,GW,PG,32,35.3,18.3,5.7,14.7,0.39,2.2,6,0.372,4.6,5.6,0.827,0.3,2.4,2.8,4.3,0.6,0.4,3,1.7,
Clark Slajchert,PENN,PG,22,34.5,18,6.7,13.8,0.487,2.6,6.1,0.422,1.9,2.3,0.824,0.7,2.3,3,2.9,1.2,0.1,2.2,2.1,
Sherif Gross-Bullock,BRYNT,PG,32,34.8,17.9,6,13.9,0.434,2.6,7.4,0.354,3.3,4.4,0.738,0.4,4.8,5.2,2.6,1,0.4,3.3,3,
Kaleb Higgins,CSUB,PG,32,31.8,17.9,6.5,15.2,0.427,1.3,4.4,0.291,3.6,4.1,0.878,0.6,2.3,2.8,3.7,1.1,0,2,1.8,
Shahada Wells,MCNST,PG,33,32.2,17.8,6.2,13.5,0.462,1.5,3.8,0.384,4,5,0.794,0.9,3.6,4.5,4.7,3,0.3,2,1.4,
Jarod Lucas,UNR,PG,34,32.7,17.8,5.4,12.7,0.421,2.4,6,0.394,4.7,5.3,0.899,0.5,2.3,2.8,1.4,0.8,0,0.9,1.4,
Ty Johnson,UCD,PG,32,30.6,17.8,5.9,13.3,0.443,1.1,3.4,0.321,4.9,6.4,0.771,0.6,3.1,3.7,3.3,1.8,0.1,2.9,2.3,
Rashad Williams,UAPB,PG,29,30.7,17.7,5.8,14.2,0.404,3.6,8.9,0.405,2.6,3.1,0.824,0.2,1.7,1.9,3,0.8,0,2.7,2.4,
"Walter Clayton, Jr.",FLA,PG,36,30.9,17.6,5.6,13,0.432,2.6,7.1,0.365,3.8,4.3,0.877,0.5,3.1,3.6,2.6,1.1,0.6,2.2,2.4,
Jordan Pope,ORST,PG,32,35.6,17.6,6.3,13.9,0.451,2.1,5.6,0.371,2.9,3.3,0.879,0.6,1.9,2.6,3.4,0.7,0.1,2.3,1.3,
Markus Burton,ND,PG,33,33.7,17.5,6.4,15.1,0.421,1.3,4.2,0.3,3.5,4.2,0.821,0.6,2.7,3.3,4.3,1.9,0.2,3.7,2.9,
Honor Huff,CHATT,PG,33,34.5,17.4,5.5,12.6,0.434,3.3,8.7,0.38,3.2,3.9,0.828,0.2,2.5,2.7,2.6,1.7,0.1,1.3,1.4,
Vasean Allette,ODU,PG,19,32.2,17.4,6.9,15.4,0.452,1.5,4.2,0.354,2.1,3.4,0.609,1,4.7,5.7,3.1,1.8,0,2.3,2.3,
Deon Perry,L-MD,PG,29,33.2,17.3,5.7,14.9,0.384,2.7,7.8,0.351,3.2,3.5,0.911,0.4,2.2,2.6,2.9,1.5,0,2.9,2.2,
Malik Mack,HAR,PG,24,33.4,17.2,5.6,13.6,0.41,1.9,5.5,0.341,4.2,5.1,0.813,0.5,3.5,4,4.8,1.3,0.1,2.5,1.7,
D.J. Brewton,CSFUL,PG,31,33,17,6.5,14.5,0.453,1,3.1,0.33,2.9,4.3,0.682,0.9,3.9,4.8,2.4,1.5,0.2,2.1,1.8,
Tyren Moore,GASO,PG,32,28,17,5.8,12.5,0.468,2.3,5.6,0.406,3,3.5,0.865,0.3,2.5,2.8,3.1,1.1,0.1,1.9,1.6,
Austin Benigni,USNA,PG,31,33.5,17,5.3,13.7,0.387,0.6,2.5,0.247,5.7,6.7,0.847,0.5,2.4,2.9,3.8,0.7,0.1,2.4,2.7,
D.J. Horne,NCST,PG,40,32.7,16.9,6,13.8,0.436,2.6,6.5,0.404,2.3,2.8,0.814,0.5,3,3.5,2.1,1.3,0.1,1.4,2,
Caleb Fields,FAIR,PG,35,35.3,16.9,5.8,13.2,0.436,3.2,8.3,0.388,2.1,3,0.721,1,3.1,4.1,2.7,1.4,0.1,1.3,1.4,
Jamarii Thomas,NORF,PG,33,31.1,16.9,4.7,11.6,0.404,1.6,4.2,0.38,5.9,7.3,0.809,0.7,3.1,3.8,3.8,2.1,0.1,2.4,2.5,
Sam Griffin,UWYOM,PG,32,34.4,16.9,5.6,13,0.431,2.4,6.1,0.392,3.3,4,0.835,0.3,3.5,3.7,3.4,0.7,0,2.4,0.9,
Terrell Burden,KENN,PG,31,31.2,16.8,5.6,12.8,0.442,1.1,3.6,0.31,4.4,6.9,0.643,0.7,2.8,3.5,6.3,1.4,0.4,2.8,2.1,
Kanye Clary,PENST,PG,23,29.5,16.7,6,13.1,0.462,1.3,3.3,0.377,3.3,4.1,0.811,0.4,2.5,2.9,2.8,1,0,1.9,1.6,
Travis Evee,RICE,PG,32,33.7,16.7,5.8,13.7,0.419,2.3,6.8,0.343,2.9,3.5,0.829,0.4,3,3.4,2.1,1,0.3,1.8,1.8,
Boogie Ellis,USC,PG,29,33.6,16.5,5.6,13.1,0.427,3,7.2,0.418,2.3,3.2,0.72,0.3,3.2,3.5,3,1.4,0.1,1.8,1.9,
Dug McDaniel,MICH,PG,26,35.4,16.3,5.8,14.2,0.41,2.2,5.8,0.368,2.5,3.2,0.774,0.7,3,3.7,4.7,1.1,0,2.4,1.8,
Tramon Mark,ARK,PG,31,32.5,16.2,5.4,11.3,0.48,1.2,3.2,0.364,4.2,5.3,0.804,0.5,3.8,4.3,1.8,1.2,0.8,1.7,2.9,
Kezza Giffa,HP,PG,36,29.7,16.2,4.1,10,0.407,1.4,4.1,0.34,6.7,7.6,0.883,0.3,2.6,2.9,2.9,0.6,0.1,2.6,2.3,
Robert Ford III,MTSTU,PG,35,33.9,16.2,5.3,10.9,0.487,2.4,5.5,0.44,3.2,4.1,0.785,1,6.6,7.6,3,2.9,0.2,2.3,2.9,
Isaiah Stevens,COLST,PG,36,34.8,16,5.8,12.3,0.474,1.8,4.2,0.44,2.6,3.1,0.836,0.5,2.7,3.2,6.8,1.2,0.2,2.4,1.4,
Tiger Booker,EIU,PG,28,33.1,16,5.5,12.8,0.427,0.9,3,0.294,4.1,4.8,0.859,0.5,2.2,2.7,3.4,2.1,0,1.4,1.3,
Hysier Miller,TEM,PG,36,36.4,15.9,5.4,15.3,0.353,2.1,7.3,0.294,3,4,0.762,0.7,2.9,3.6,4,1.8,0.2,2.1,2.8,
Jaelen House,UNM,PG,31,29.4,15.9,5.1,13.7,0.374,1.9,5.9,0.328,3.7,4.2,0.885,0.6,2.9,3.5,3.5,2.3,0.2,1.8,3,
Isaiah Swope,INDST,PG,37,33.4,15.9,5.5,12.8,0.433,3.1,8.4,0.362,1.7,2.4,0.736,0.2,2.8,3,2.1,1.3,0,1.8,2.1,
T.J. Madlock,ALAST,PG,32,31.3,15.8,5,13.3,0.376,0.6,2.8,0.205,5.3,6.7,0.786,0.9,3.9,4.9,2.3,1.7,0.4,1.2,2.7,
Jalin Anderson,BLLST,PG,31,36.3,15.8,5.5,12.5,0.441,1.6,4.5,0.357,3.2,4.2,0.76,0.5,4.1,4.6,4.5,1.5,0.2,2.8,2.3,
K.K. Robinson,UALR,PG,28,33.4,15.8,5,12.1,0.417,1.5,4.6,0.323,4.2,5,0.836,0.7,4.9,5.6,4.3,1.2,0.7,2.9,3.1,
Bruce Thornton,OSU,PG,35,33.6,15.7,5.2,12.1,0.427,1.7,5,0.333,3.7,4.4,0.85,0.4,3.3,3.7,4.8,1.2,0,1.2,1.7,
Kevin Miller,WF,PG,35,31.9,15.6,5.4,11.6,0.464,1.1,2.9,0.369,3.7,4.4,0.845,0.5,2.3,2.8,3.5,1.4,0,2.5,1.9,
Zyon Pullin,FLA,PG,33,33.5,15.5,4.8,10.8,0.444,1.1,2.4,0.449,4.9,5.8,0.847,0.7,3.2,3.9,4.9,0.9,0.1,1.3,2,
L.J. Cryer,U of H,PG,37,32.1,15.5,5.4,13.2,0.411,3,7.8,0.388,1.6,1.9,0.871,0.6,1.7,2.4,1.9,1.1,0.1,0.9,1.7,
Damarco Minor,SIUE,PG,33,33.6,15.5,5.3,13.4,0.397,1.2,3.8,0.315,3.6,4.2,0.862,1.5,7,8.5,3.1,1.1,0.2,1.9,2.1,
Deuce Turner,SAND,PG,31,25.6,15.5,4.9,12.2,0.406,2.1,5.5,0.374,3.5,4.1,0.858,0.3,2.1,2.4,1.9,0.9,0.1,2.1,1,
Tre Dinkins,CAN,PG,32,35.1,15.4,5.3,13,0.41,2.7,7.3,0.365,2.1,2.6,0.786,0.2,2.4,2.7,3.6,1,0.3,2.4,1.8,
Keyshaun Langley,UNCG,PG,31,30.4,15.4,5.3,12.4,0.427,2.6,6.2,0.425,2.2,2.5,0.859,0.4,2.3,2.7,3.3,1.5,0.1,1.5,1.9,
Ahmad Robinson,NEWHA,PG,31,29.4,15.4,5.1,12.5,0.409,1.1,3.6,0.313,4.1,5.7,0.716,0.8,3.8,4.6,4.7,1.5,0.1,3.3,2.7,
"Fred Cleveland, Jr.",NCCU,PG,29,33,15.3,5,12.7,0.398,2.4,6.7,0.366,2.8,3.6,0.779,0.6,3.4,3.9,5.3,1.6,0,2.7,2,
Tylor Perry,KSU,PG,34,36.4,15.3,3.9,10.9,0.358,2.7,8.2,0.335,4.7,5.2,0.909,0.6,2.4,3,4.4,1.1,0.1,2.7,2.3,
Rob Dillingham,UK,PG,32,23.2,15.2,5.4,11.3,0.475,2,4.5,0.444,2.4,3.1,0.796,0.3,2.7,2.9,3.9,1,0.1,2,2.6,
Darius Johnson,UCF,PG,33,32.7,15.2,4.8,11.8,0.407,2.2,5.5,0.394,3.4,4.2,0.81,0.5,2.8,3.3,3.7,2.2,0.1,2.8,3,
Keisei Tominaga,UNL,PG,32,26.1,15.1,5.3,11.3,0.466,2.4,6.3,0.376,2.2,2.5,0.875,0.3,2.1,2.3,1.4,0.9,0,1.2,1.3,
Don McHenry,WKU,PG,34,27.8,15.1,5.7,12.4,0.461,1.4,3.8,0.362,2.3,2.7,0.859,0.6,2.9,3.4,2.4,0.9,0.1,2,1.8,
Joseph Girard III,CLEM,PG,36,32.8,15.1,4.5,10.5,0.43,2.9,7.1,0.413,3.2,3.4,0.935,0.2,3,3.2,2.9,0.6,0.1,1.5,1.4,
Marcus Greene,HCU,PG,28,32.5,15.1,5.3,11.7,0.451,2.2,5.1,0.427,2.4,3,0.786,0.5,3.1,3.6,3,1,0.2,2.4,2.3,
"Marcus Banks, Jr.",UMBC,PG,32,29,15.1,5.2,13.2,0.39,2.7,7.5,0.354,2.1,2.7,0.782,0.7,3.2,3.9,1.9,0.7,0.2,1.2,2.4,
Brennan Watkins,VMI,PG,22,30.4,15.1,5,12,0.414,2.1,5.8,0.37,3,3.5,0.87,0.2,2,2.1,3,0.7,0,3,1.9,
Al-Amir Dawes,SETON,PG,37,35.1,15,5.1,12.1,0.419,2.5,6.3,0.389,2.4,2.5,0.935,0.3,2.5,2.8,2.3,1.2,0.1,1.9,1.5,
Khalil Brantley,LASAL,PG,33,36,15,5.2,13.5,0.387,1.4,4.4,0.326,3.1,4.1,0.763,1.2,4.1,5.3,4.2,1.5,0.4,2.2,2.6,
Dejour Reaves,NOCOL,PG,30,29.2,14.9,5.5,11.8,0.467,1.5,4,0.38,2.3,2.8,0.824,0.7,2.8,3.5,1.4,1.3,0.1,1.5,1.4,
Myles Rice,WSU,PG,35,33.2,14.8,5.4,12.4,0.439,1,3.7,0.275,2.9,3.6,0.811,0.4,2.7,3.1,3.8,1.6,0.2,2.6,2.7,
R.J. Johnson,CHASO,PG,28,33.5,14.8,4.4,11.1,0.394,1.4,3.5,0.384,4.7,5.3,0.885,0.2,1.8,2,3.1,0.7,0.1,2.1,2.2,
Tariq Francis,NJIT,PG,27,27.4,14.8,5.1,13.2,0.389,2.1,6.1,0.352,2.3,3,0.788,1.1,2.9,4.1,2.6,1.5,0.1,2,2.4,
Jacari Lane,UNA,PG,32,29,14.7,4.9,11.7,0.421,0.8,2.2,0.362,4.1,4.9,0.828,0.4,2.6,3,3.8,1.1,0.2,2.2,1.9,
Ezra Manjon,VANDY,PG,30,31.9,14.7,5.2,11.6,0.448,0.5,1.5,0.318,3.8,4.6,0.826,0.5,2.7,3.2,3.8,1.1,0.2,2.1,1.4,
Dezi Jones,APSU,PG,35,30.8,14.6,5.2,12.1,0.432,1.9,5.2,0.366,2.3,2.7,0.849,0.8,2.8,3.6,3.3,1.3,0.1,2,2.3,
Lu'Cye Patterson,CHAR,PG,31,32,14.6,5,11.4,0.436,1.3,3.8,0.35,3.3,4.4,0.757,0.7,2.7,3.4,2.5,1,0.2,1.3,2.5,
Zion Harmon,BTHCK,PG,28,31,14.6,4.6,12,0.386,1.4,5.4,0.258,3.9,4.2,0.932,0.4,1.8,2.1,4,1.7,0.1,2.7,2.2,
Ayinde Hikim,UML,PG,32,36,14.6,5.2,13.2,0.397,0.8,2.9,0.255,3.4,4.4,0.771,0.9,3.2,4.1,5.1,1.9,0.2,3.8,2.4,
Tyree Ihenacho,UND,PG,21,33.3,14.5,5.1,12.8,0.401,1.4,5,0.288,2.8,4.4,0.641,1,4,5,3.9,1.4,0.6,2.2,2.7,
Elijah Morgan,CTDL,PG,32,33,14.5,4.7,10.3,0.456,2.6,6.6,0.398,2.5,2.8,0.889,0.4,3.6,3.9,1.4,1.5,0,1.8,2,
Geronimo Rubio De La Rosa,COM,PG,25,30.8,14.4,4.6,10.5,0.443,2.3,5.8,0.396,2.9,3.5,0.818,0.6,3.2,3.8,2.7,1.6,0.1,1.9,1,
Walyn Napper,LONG,PG,35,32.8,14.4,5.7,12.6,0.45,0.7,2.7,0.253,2.3,3.7,0.623,1.1,2.9,4,4.5,1.5,0.3,2.8,2.2,
P.J. Henry,TEXSO,PG,29,27.6,14.3,5.3,13.4,0.399,2.3,6.6,0.349,1.3,2,0.684,0.4,2.2,2.7,2.3,1.8,0.1,2,1.3,
Kenyon Giles,RADF,PG,32,32.2,14.3,5.7,13.6,0.416,1.6,5.2,0.305,1.4,1.7,0.818,0.3,1.7,2,2.8,1,0.1,1.7,1.8,
Reece Beekman,UVA,PG,34,32.8,14.3,5.3,11.9,0.443,0.9,2.9,0.31,2.8,3.7,0.754,0.4,3.3,3.6,6.2,2,0.5,2.1,1.3,
Sahvir Wheeler,UWASH,PG,31,33.9,14.3,5.6,12.9,0.436,0.8,2.9,0.267,2.2,3.5,0.645,0.5,3,3.5,6.1,1.3,0.2,3.3,2.6,
Jared McCain,DUKE,PG,36,31.6,14.3,4.9,10.5,0.462,2.4,5.8,0.414,2.1,2.4,0.885,0.8,4.2,5,1.9,1.1,0.1,1.3,1.6,
"Ace Baldwin, Jr.",PENST,PG,33,35.9,14.2,4.4,11.4,0.389,1.5,4.4,0.329,3.9,4.7,0.826,0.6,2.1,2.7,6,2.7,0.3,2.6,1.9,
"Meechie Johnson, Jr.",SOCAR,PG,33,29,14.1,4.7,11.8,0.399,1.8,5.7,0.321,2.8,3.6,0.788,0.7,3.5,4.1,2.9,0.9,0.1,1.6,2.2,
Isaiah Thompson,FGCU,PG,24,30.1,14.1,4,9.7,0.416,2.4,6.2,0.385,3.6,4.3,0.837,0.3,1.7,1.9,2,1.1,0,2,1.2,
Shykeim Phillips,UNCW,PG,31,26.3,14.1,5.5,10.5,0.525,0.4,1.2,0.342,2.7,3.3,0.806,0.7,2.5,3.2,3.7,1.9,0.2,1,2.6,
Max Shulga,VCU,PG,37,32.8,14,3.9,8.8,0.446,2.3,5.6,0.415,3.8,4.4,0.876,0.4,4.3,4.6,3.6,0.9,0.3,2,1.9,
Sion James,TULAN,PG,31,36.9,14,4.8,9.3,0.514,1.4,3.6,0.381,3.1,4.5,0.683,1,4.4,5.4,2.7,1.6,0.7,1.2,2.6,
Tony Perkins,IOWA,PG,34,30.9,14,4.8,11.1,0.432,0.7,2.3,0.299,3.7,4.7,0.788,1.1,3.2,4.4,4.6,1.6,0.4,1.9,2,
Marcus Williams,SANFR,PG,34,30.7,14,5.5,12,0.456,1.9,5.5,0.344,1.1,1.7,0.672,0.5,2.8,3.3,3.9,1.4,0.3,2.2,2,
Jaylin Hunter,OHIO,PG,33,31.3,14,4.8,11.5,0.417,1.5,5.1,0.293,2.9,3.9,0.744,0.8,3.6,4.4,4.9,1.7,0.2,2.1,1.9,
Stephan Swenson,STET,PG,35,33.3,13.9,4.9,12.1,0.41,1.3,4.1,0.324,2.7,3.3,0.819,0.8,3.9,4.7,5.8,1.5,0.1,2.7,2.2,
Duke Deen,BRDLY,PG,35,32.9,13.9,5,11.5,0.437,2.5,6.6,0.381,1.4,1.7,0.787,0.3,2.9,3.2,3.9,0.9,0.1,1.8,1.5,
Ben Johnson,BELL,PG,27,32.1,13.9,5.1,12.2,0.415,2.6,6.7,0.381,1.2,1.5,0.8,0.7,2.7,3.4,1.4,0.7,0,0.7,1.9,
Jestin Porter,MTSU,PG,33,31.8,13.9,5,12.5,0.399,1.8,5.5,0.337,2.1,2.7,0.775,0.8,2.5,3.3,1.8,1,0.2,2.2,1.9,
Aaron Clarke,SB,PG,31,33.1,13.9,4.9,12,0.411,2,5.7,0.35,2,2.6,0.775,0.4,3.2,3.5,3,0.7,0.1,1.3,1.5,
Aidan Mahaney,STMRY,PG,34,33.2,13.9,4.9,12.8,0.386,2.4,6.9,0.355,1.5,1.9,0.813,0.3,2.4,2.6,2.6,0.8,0.1,1.4,2.2,
Frankie Collins,ASU,PG,32,32.3,13.8,5.3,12.5,0.426,1.4,4.5,0.31,1.8,3.1,0.576,1.1,3.3,4.4,3.2,2.6,0.2,2.7,2.3,
Jaylen Murray,MISS,PG,32,32.2,13.8,4.8,11.8,0.411,2.3,6,0.373,1.8,2.4,0.766,0.4,1.9,2.3,4,1.4,0.4,1.7,1.6,
T.K. Simpkins,ELON,PG,29,27.2,13.8,4.2,10.2,0.416,0.9,3,0.287,4.4,6,0.74,0.9,3.8,4.7,3.1,1.6,0.3,2.3,1.3,
Deywilk Tavarez,DESU,PG,33,30.8,13.7,4.5,11.2,0.396,1.6,4.5,0.362,3.1,4.1,0.769,0.3,3,3.4,3.6,2,0,3.8,2.2,
Tai Strickland,LIU,PG,26,29.8,13.7,4.8,11,0.435,0.7,2.8,0.247,3.4,4.3,0.795,0.6,3.3,3.9,2.5,1.7,0.3,2.8,2.9,
"Dedan Thomas, Jr.",UNLV,PG,34,34.8,13.6,4.8,10.7,0.449,1,2.8,0.362,3.1,4.1,0.743,0.2,2.6,2.7,5.1,0.9,0,2.2,1.3,
Samage Teel,PRSBY,PG,32,27.9,13.6,4.6,10.5,0.442,1.7,4.1,0.415,2.7,3.6,0.754,0.5,2.1,2.6,2.7,0.8,0.1,2.2,2.2,
RayJ Dennis,BAYL,PG,35,34.3,13.6,5.1,10.7,0.479,1.1,3.4,0.328,2.2,3,0.731,0.5,3.4,3.9,6.8,1.4,0.1,3.5,2.5,
Hunter Cattoor,VT,PG,33,33.1,13.5,4,9,0.449,2.5,6.1,0.405,3,3.4,0.893,0.2,2.5,2.8,1.9,0.9,0.2,1.2,2.1,
Alex Schumacher,SEA,PG,37,30.6,13.5,4.4,10.5,0.423,0.8,2.6,0.309,3.9,5,0.777,0.5,3.2,3.7,5.1,1.3,0.1,2.9,2.1,
Jahvon Quinerly,MEMP,PG,32,32.9,13.5,4.4,10.8,0.405,1.8,5.3,0.345,3,3.8,0.792,0.3,2.9,3.3,4.9,1.3,0.1,2.3,1.7,
Ray Harrison,GCU,PG,34,32.7,13.5,4.3,10.5,0.406,1,3.4,0.287,4,4.8,0.835,0.5,2.4,2.9,3.9,0.8,0.2,2.1,2.1,
Trey Moss,W&M,PG,33,31.3,13.5,4.8,11.7,0.413,1.3,4.5,0.291,2.6,3.4,0.752,0.7,2.8,3.5,2.2,0.7,0,1.5,1.7,
Quimari Peterson,ETSU,PG,35,32,13.5,5.1,12.9,0.393,1.1,3.8,0.286,2.2,3.1,0.716,1.7,2.8,4.5,3.7,1.7,0.3,2.3,2.2,
Budd Clark,MERRI,PG,33,31.2,13.4,5.2,11.1,0.469,0.2,1.3,0.14,2.8,3.7,0.748,0.8,1.7,2.5,3.9,2.5,0.1,2.5,2.2,
Arturo Dean,FIU,PG,31,28.7,13.4,5.4,12.8,0.418,0.9,2.9,0.303,1.8,2.8,0.644,1,4.1,5.1,4,3.4,0.2,3.7,2.5,
Chuck Harris,SMU,PG,32,29.8,13.4,4.8,11.1,0.432,2.1,5.2,0.407,1.7,2.1,0.818,0.8,2.4,3.2,3.4,1,0.2,1.9,2.1,
Jalen Cone,Cal,PG,32,35.7,13.4,3.9,11.8,0.332,2.8,8.7,0.319,2.8,3.4,0.817,0.3,1.8,2.1,2.3,0.6,0.1,1.3,1.5,
Javian McCollum,OKLA,PG,30,31.1,13.3,4.4,10.9,0.404,1.8,5.7,0.314,2.7,2.9,0.943,0.1,2.4,2.6,3.4,0.8,0.1,2,1.5,
Ryan Myers,WIU,PG,32,30.2,13.3,4.2,11,0.384,2.6,6.4,0.4,2.3,2.8,0.813,0.6,1.9,2.5,2.1,0.4,0,2.3,1.9,
Bowen Born,UNI,PG,31,27.6,13.3,4.3,11.4,0.376,1.7,5.5,0.32,2.9,3.3,0.883,0.4,2.1,2.5,1.8,1,0,1.2,1.7,
Alvaro Cardenas Torre,SJSU,PG,31,35.5,13.2,5,10.9,0.457,1.5,3.8,0.385,1.8,2.2,0.809,0.5,2.7,3.3,5.5,0.9,0.1,2.1,2,
Hassan Abdul-Hakim,UTRGV,PG,19,29.1,13.2,4.6,9.3,0.494,0.8,2.4,0.356,3.2,5.1,0.635,1.5,3.6,5.2,3.5,1.4,0.8,2.7,1.9,
Kamdyn Curfman,MARSH,PG,33,33.3,13.1,4.3,12.3,0.349,2.7,8.3,0.328,1.8,2.1,0.868,0.4,1.9,2.3,2.6,0.9,0,2.2,1.1,
Cobe Williams,TULSA,PG,31,31.4,13.1,4.2,10.7,0.395,1.8,5.5,0.333,2.8,3.7,0.757,0.6,2.8,3.4,3.6,2.1,0.2,2.9,2.5,
Jordan Jones,CCSU,PG,31,29.5,13.1,4.6,10.5,0.44,1.2,3.4,0.34,2.7,3.6,0.748,0.8,2.8,3.5,3.6,1.8,0.2,2.2,1.5,
Quinton Morton-Robertson,IPFW,PG,36,29.5,13,4.1,9.7,0.42,2.9,7.2,0.404,1.9,2.3,0.864,0.3,2.4,2.8,2.3,1.3,0,1.1,1.9,
Rafael Pinzon,BRYNT,PG,33,27.2,13,5,12.1,0.411,1.7,4.8,0.354,1.4,1.8,0.763,0.6,2.5,3.1,1.7,0.8,0.3,1.6,1.5,
Devon Barnes,TARST,PG,35,27.7,13,3.9,9,0.432,1.6,4,0.397,3.6,4.2,0.857,0.2,1.8,2,2.2,1.3,0.1,1.1,2,
Josiah Davis,TNTCH,PG,31,30.5,12.9,5.1,10.1,0.503,0.3,1.2,0.25,2.5,4,0.621,0.9,3.7,4.6,2.3,0.7,0.1,2.4,2,
Grant Huffman,DAV,PG,32,33.9,12.8,4.9,10.8,0.453,0.6,2.1,0.269,2.5,3.5,0.723,0.8,4.4,5.1,5.3,1.4,0.3,2.1,2.4,
Jackson Shelstad,OREG,PG,32,32.7,12.8,4.9,10.9,0.45,1.5,4.4,0.345,1.5,1.8,0.857,0.4,2.4,2.8,2.8,0.7,0.2,1.6,1.5,
Deivon Smith,U of U,PG,29,28.6,12.8,4.8,10.3,0.467,1,2.4,0.408,2.2,3.2,0.677,0.9,5.1,6.1,6.8,1.1,0.3,2.4,1.7,
Nijel Pack,UMFL,PG,26,31.3,12.8,4.7,11.7,0.4,1.9,5.4,0.357,1.5,2,0.765,0.3,2.1,2.5,3.4,0.9,0.3,1.7,1,
Taryn Todd,ARKST,PG,37,25.9,12.8,4.9,11.6,0.42,1.3,3.9,0.338,1.7,2.4,0.719,0.3,3.1,3.4,2.4,1,0.5,1.9,2.5,
Mika Adams-Woods,STBN,PG,32,32,12.8,4.4,9.7,0.46,1.5,3.5,0.432,2.4,2.9,0.837,0.4,2.1,2.5,3.7,1,0.2,1.6,1.7,
Julien Soumaoro,GWU,PG,31,28.7,12.7,4.2,10.3,0.403,2,5.7,0.358,2.4,3.3,0.709,0.3,2,2.3,2.6,1.1,0,2.1,2.5,
